Title,location,bhk,bath,total_sqft,price_per_sqft,price,area_type
2 BHK Apartment , Yelahanka New Town,2,2,1248,5500,68.64,Superbuilt-up
2 BHK Apartment , Thanisandra,2,2,1241,6688,83,Superbuilt-up
2 BHK Apartment , Kanakapura Road,2,2,1067,4967,53,CarpetArea
2 BHK Apartment , Billekahalli,2,2,1405,4412,62,Built-upArea
2 BHK Apartment , 7th Phase JP Nagar,2,2,1160,5172,60,Superbuilt-up
2 BHK Apartment , Chikkalasandra,2,2,1000,6500,65,Superbuilt-up
2 BHK Apartment , Thanisandra,2,2,1098,7741,85,Superbuilt-up
3 BHK Apartment , Yelahanka,3,2,1065,7042,75,Built-upArea
3 BHK Apartment , BSF STS MAIN ROAD,3,2,1250,4000,50,CarpetArea
2 BHK Apartment , Sahakara Nagar,2,2,1170,8119,95,Superbuilt-up
3 BHK Apartment , Jakkur,3,3,1773,8888,120,Superbuilt-up
2 BHK Apartment , Arekere,2,2,1324,6948,92,CarpetArea
2 BHK Apartment , Tumkur Road,2,2,1073,7362,79,Superbuilt-up
3 BHK Apartment , Peenya,3,2,1600,5625,90,Superbuilt-up
3 BHK Apartment , Indira Nagar,3,2,1275,9411,120,Built-upArea
2 BHK Apartment , 9th Phase JP Nagar,2,2,800,4375,35,Superbuilt-up
3 BHK Apartment , Annasandrapalya Extension,3,2,1295,6177,80,Built-upArea
3 BHK Apartment , Devarabisanahalli,3,3,1808,10785,195,CarpetArea
2 BHK Apartment , Basavangudi,2,2,1282,8970,115,CarpetArea
2 BHK Independent Builder Floor , Whitefield,2,2,1325,4600,60.95,Superbuilt-up
2 BHK Apartment , Whitefield,2,2,1140,5964,68,CarpetArea
3 BHK Apartment , BTM Layout,3,2,1500,6600,99,CarpetArea
3 BHK Independent Builder Floor , Banashankari Stage 2,3,3,1800,10277,185,Superbuilt-up
2 BHK Apartment , Kodigehalli,2,2,1170,5769,66,Superbuilt-up
3 BHK Apartment , Doddathoguru,3,3,1695,3952,67,Superbuilt-up
3 BHK Apartment , Vidyaranyapura,3,3,1980,5858,116,Superbuilt-up
3 BHK Apartment , Seegehalli,3,3,1227,4277,52.49,CarpetArea
2 BHK Apartment , Kasavanhalli,2,2,1255,7968,100,Superbuilt-up
3 BHK Apartment , Hegde Nagar,3,3,1569,7648,120,Superbuilt-up
3 BHK Apartment , Byrasandra,3,3,2000,4250,85,CarpetArea
3 BHK Independent Builder Floor , Bommanahalli,3,3,1900,4736,90,CarpetArea
3 BHK Apartment , 5th Phase JP Nagar,3,2,1420,5422,77,Superbuilt-up
3 BHK Apartment , Yelahanka,3,2,1448,6215,90,Superbuilt-up
