,Location,Price_per_sqft,Total_sqft,Area,BHK,Price
3382,2 BHK Apartment in Kalkere,"₹ 6,109/sq.ft.","1,064 sq.ft. (99 sq.m.) Built-up Area",(99 sq.m.) Built-up Area,2 BHK2 Baths,"₹ 65 L₹ 6,109/sq.ft."
3383,"3 BHK Apartment in Haralur Main Road, HSR Layout","₹ 5,833/sq.ft.","1,200 sq.ft. (111 sq.m.) Built-up Area",(111 sq.m.) Built-up Area,3 BHK2 Baths,"₹ 70 L₹ 5,833/sq.ft."
3384,3 BHK Apartment in Brigade Cornerstone Utopia,"₹ 10,159/sq.ft.","1,821 sq.ft. (169 sq.m.) Built-up Area",(169 sq.m.) Built-up Area,3 BHK3 Baths,"₹ 1.85 Cr₹ 10,159/sq.ft."
3385,1 Bedroom House in Kacharakanahalli,"₹ 23,214/sq.ft.","1,400 sq.ft. (130 sq.m.) Built-up Area",(130 sq.m.) Built-up Area,1 BHK1 Bath,"₹ 3.25 Cr₹ 23,214/sq.ft."
3386,3 BHK Apartment in Sri Balaji Krupa Layout,"₹ 7,333/sq.ft.","1,241 sq.ft. (115 sq.m.) Built-up Area",(115 sq.m.) Built-up Area,3 BHK2 Baths,"₹ 91 L₹ 7,333/sq.ft."
3387,1 BHK Independent Builder Floor in Attibele,"₹ 8,633/sq.ft.","3,000 sq.ft. (279 sq.m.) Built-up Area",(279 sq.m.) Built-up Area,1 BHK1 Bath,"₹ 2.59 Cr₹ 8,633/sq.ft."
3388,1 BHK Independent Builder Floor in Malur,"₹ 5,029/sq.ft.","2,187 sq.ft. (203 sq.m.) Built-up Area",(203 sq.m.) Built-up Area,1 BHK1 Bath,"₹ 1.1 Cr₹ 5,029/sq.ft."
3389,1 BHK Independent Builder Floor in Anjanapura Township,"₹ 6,250/sq.ft.","4,400 sq.ft. (409 sq.m.) Built-up Area",(409 sq.m.) Built-up Area,1 BHK1 Bath,"₹ 2.75 Cr₹ 6,250/sq.ft."
3390,Residential land / Plot in Kanakapura Road Vakil Garden City,"₹ 5,167/sq.ft.","1,200 sq.ft. (111 sq.m.) Plot Area",(111 sq.m.) Plot Area,,"₹ 62 L₹ 5,167/sq.ft."
3391,5 Bedroom House in Aditya Nagar-Vidyaranyapura,"₹ 7,500/sq.ft.","3,000 sq.ft. (279 sq.m.) Carpet Area",(279 sq.m.) Carpet Area,5 BHK5 Baths,"₹ 2.25 Cr₹ 7,500/sq.ft."
3392,1 BHK Apartment in Budigere,"₹ 7,618/sq.ft.",722 sq.ft. (67 sq.m.) Built-up Area,(67 sq.m.) Built-up Area,1 BHK1 Bath,"₹ 52 L₹ 7,618/sq.ft."
3393,1 Bedroom House in Thanisandra,"₹ 22,000/sq.ft.","1,500 sq.ft. (139 sq.m.) Built-up Area",(139 sq.m.) Built-up Area,1 BHK1 Bath,"₹ 3.3 Cr₹ 22,000/sq.ft."
3394,1 Bedroom House in Kaval Bairasandra,"₹ 9,166/sq.ft.","1,200 sq.ft. (111 sq.m.) Built-up Area",(111 sq.m.) Built-up Area,1 BHK1 Bath,"₹ 1.1 Cr₹ 9,166/sq.ft."
3395,1 Bedroom House in Basavanapura,"₹ 9,000/sq.ft.",600 sq.ft. (56 sq.m.) Built-up Area,(56 sq.m.) Built-up Area,1 BHK1 Bath,"₹ 54 L₹ 9,000/sq.ft."
3396,1 Bedroom House in Andrahalli,"₹ 3,125/sq.ft.","2,400 sq.ft. (223 sq.m.) Built-up Area",(223 sq.m.) Built-up Area,1 BHK1 Bath,"₹ 75 L₹ 3,125/sq.ft."
3397,1 Bedroom House in Anjanapura Township,"₹ 6,074/sq.ft.","1,350 sq.ft. (125 sq.m.) Built-up Area",(125 sq.m.) Built-up Area,1 BHK1 Bath,"₹ 82 L₹ 6,074/sq.ft."
3398,1 Bedroom House in Kengeri Satellite Town,"₹ 5,216/sq.ft.","1,200 sq.ft. (111 sq.m.) Built-up Area",(111 sq.m.) Built-up Area,1 BHK1 Bath,"₹ 62.6 L₹ 5,216/sq.ft."
3399,Residential land / Plot in Hoskote,"₹ 3,500/sq.ft.","1,450 sq.ft. (135 sq.m.) Plot Area",(135 sq.m.) Plot Area,,"₹ 50 L₹ 3,500/sq.ft."
3400,2 BHK Apartment in Sarjapura Attibele Road,"₹ 2,828/sq.ft.","1,167 sq.ft. (108 sq.m.) Built-up Area",(108 sq.m.) Built-up Area,2 BHK2 Baths,"₹ 33 L₹ 2,828/sq.ft."
3401,1 Bedroom House in Harapanahalli,"₹ 4,166/sq.ft.","1,200 sq.ft. (111 sq.m.) Built-up Area",(111 sq.m.) Built-up Area,1 BHK1 Bath,"₹ 50 L₹ 4,166/sq.ft."
3402,1 Bedroom House in Jnana Ganga Nagar,"₹ 5,611/sq.ft.","1,800 sq.ft. (167 sq.m.) Built-up Area",(167 sq.m.) Built-up Area,1 BHK1 Bath,"₹ 1.01 Cr₹ 5,611/sq.ft."
3403,1 Bedroom House in Kodipur,"₹ 14,880/sq.ft.",840 sq.ft. (78 sq.m.) Built-up Area,(78 sq.m.) Built-up Area,1 BHK1 Bath,"₹ 1.25 Cr₹ 14,880/sq.ft."
3404,1 BHK Independent Builder Floor in Channigarayapura,"₹ 5,500/sq.ft.","2,000 sq.ft. (186 sq.m.) Built-up Area",(186 sq.m.) Built-up Area,1 BHK1 Bath,"₹ 1.1 Cr₹ 5,500/sq.ft."
3405,1 Bedroom House in Kodigehalli,"₹ 11,111/sq.ft.",900 sq.ft. (84 sq.m.) Built-up Area,(84 sq.m.) Built-up Area,1 BHK1 Bath,"₹ 1 Cr₹ 11,111/sq.ft."
3406,3 Bedroom House in Budigere,"₹ 11,632/sq.ft.","2,505 sq.ft. (233 sq.m.) Plot Area",(233 sq.m.) Plot Area,3 BHK4 Baths,"₹ 3.42 Cr₹ 11,632/sq.ft."
3407,3 BHK Apartment in Doddagubbi,"₹ 4,500/sq.ft.","1,330 sq.ft. (124 sq.m.) Built-up Area",(124 sq.m.) Built-up Area,3 BHK3 Baths,"₹ 59.85 L₹ 4,500/sq.ft."
3408,3 BHK Apartment in Sarjapur Road,"₹ 11,129/sq.ft.","1,240 sq.ft. (115 sq.m.) Carpet Area",(115 sq.m.) Carpet Area,3 BHK3 Baths,"₹ 1.38 Cr₹ 11,129/sq.ft."
3409,1 Bedroom House in Kothanur,"₹ 9,230/sq.ft.","1,950 sq.ft. (181 sq.m.) Built-up Area",(181 sq.m.) Built-up Area,1 BHK1 Bath,"₹ 1.8 Cr₹ 9,230/sq.ft."
3410,3 Bedroom House in Kanakapura Road,"₹ 13,416/sq.ft.","2,795 sq.ft. (260 sq.m.) Built-up Area",(260 sq.m.) Built-up Area,3 BHK3 Baths,"₹ 3 Cr₹ 13,416/sq.ft."
3411,3 BHK Apartment in Basapura,"₹ 4,710/sq.ft.","1,380 sq.ft. (128 sq.m.) Built-up Area",(128 sq.m.) Built-up Area,3 BHK2 Baths,"₹ 65 L₹ 4,710/sq.ft."
3412,1 Bedroom House in Hoskote,"₹ 3,953/sq.ft.","1,897 sq.ft. (176 sq.m.) Built-up Area",(176 sq.m.) Built-up Area,1 BHK1 Bath,"₹ 75 L₹ 3,953/sq.ft."
3413,Residential land / Plot in Magadi road,"₹ 2,500/sq.ft.","2,400 sq.ft. (223 sq.m.) Plot Area",(223 sq.m.) Plot Area,,"₹ 60 L₹ 2,500/sq.ft."
3414,1 Bedroom House in Ullal Uppanagar,"₹ 6,140/sq.ft.","1,140 sq.ft. (106 sq.m.) Built-up Area",(106 sq.m.) Built-up Area,1 BHK1 Bath,"₹ 70 L₹ 6,140/sq.ft."
3415,1 Bedroom House in Ramamurthy Nagar,"₹ 8,163/sq.ft.",980 sq.ft. (91 sq.m.) Built-up Area,(91 sq.m.) Built-up Area,1 BHK1 Bath,"₹ 80 L₹ 8,163/sq.ft."
3416,Residential land / Plot in Thyagaraja Nagar,"₹ 17,000/sq.ft.",800 sq.ft. (74 sq.m.) Plot Area,(74 sq.m.) Plot Area,,"₹ 1.36 Cr₹ 17,000/sq.ft."
3417,Residential land / Plot in Horamavu,"₹ 5,750/sq.ft.","2,150 sq.ft. (200 sq.m.) Plot Area",(200 sq.m.) Plot Area,,"₹ 1.24 Cr₹ 5,750/sq.ft."
3418,Residential land / Plot in BTM Layout,"₹ 10,465/sq.ft.","2,150 sq.ft. (200 sq.m.) Plot Area",(200 sq.m.) Plot Area,,"₹ 2.25 Cr₹ 10,465/sq.ft."
3419,Residential land / Plot in KR Puram,"₹ 3,250/sq.ft.","5,445 sq.ft. (506 sq.m.) Plot Area",(506 sq.m.) Plot Area,,"₹ 1.77 Cr₹ 3,250/sq.ft."
3420,Residential land / Plot in Gattahalli,"₹ 7,878/sq.ft.","1,650 sq.ft. (153 sq.m.) Plot Area",(153 sq.m.) Plot Area,,"₹ 1.3 Cr₹ 7,878/sq.ft."
3421,2 BHK Independent Builder Floor in Malleshpalya,"₹ 5,194/sq.ft.","1,155 sq.ft. (107 sq.m.) Carpet Area",(107 sq.m.) Carpet Area,2 BHK2 Baths,"₹ 60 L₹ 5,194/sq.ft."
3422,2 BHK Apartment in Sahakara Nagar,"₹ 5,690/sq.ft.","1,318 sq.ft. (122 sq.m.) Built-up Area",(122 sq.m.) Built-up Area,2 BHK2 Baths,"₹ 75 L₹ 5,690/sq.ft."
3423,3 Bedroom House in Electronic City,"₹ 5,417/sq.ft.","2,400 sq.ft. (223 sq.m.) Carpet Area",(223 sq.m.) Carpet Area,3 BHK3 Baths,"₹ 1.3 Cr₹ 5,417/sq.ft."
3424,2 BHK Apartment in Electronics City Phase 1,"₹ 5,046/sq.ft.","1,070 sq.ft. (99 sq.m.) Super built-up Area",(99 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 54 L₹ 5,046/sq.ft."
3425,3 BHK Apartment in Gubbalala,"₹ 4,452/sq.ft.","1,685 sq.ft. (157 sq.m.) Built-up Area",(157 sq.m.) Built-up Area,3 BHK2 Baths,"₹ 75 L₹ 4,452/sq.ft."
3426,2 BHK Apartment in Horamavu,"₹ 6,498/sq.ft.","1,031 sq.ft. (96 sq.m.) Super built-up Area",(96 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 67 L₹ 6,498/sq.ft."
3427,2 BHK Apartment in Talaghattapura,"₹ 6,306/sq.ft.","1,110 sq.ft. (103 sq.m.) Super built-up Area",(103 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 70 L₹ 6,306/sq.ft."
3428,1 Bedroom House in Andrahalli,"₹ 4,451/sq.ft.","1,348 sq.ft. (125 sq.m.) Plot Area",(125 sq.m.) Plot Area,1 BHK2 Baths,"₹ 60 L₹ 4,451/sq.ft."
3429,Residential land / Plot in Bidadi,"₹ 1,250/sq.ft.","1,200 sq.ft. (111 sq.m.) Plot Area",(111 sq.m.) Plot Area,,"₹ 15 L₹ 1,250/sq.ft."
3430,2 BHK Apartment in Gottigere,"₹ 4,238/sq.ft.","1,130 sq.ft. (105 sq.m.) Built-up Area",(105 sq.m.) Built-up Area,2 BHK2 Baths,"₹ 47.9 L₹ 4,238/sq.ft."
3431,2 Bedroom House in Hosakerehalli,"₹ 9,356/sq.ft.","1,710 sq.ft. (159 sq.m.) Plot Area",(159 sq.m.) Plot Area,2 BHK2 Baths,"₹ 1.6 Cr₹ 9,356/sq.ft."
3432,2 BHK Apartment in Talaghattapura,"₹ 6,306/sq.ft.","1,110 sq.ft. (103 sq.m.) Carpet Area",(103 sq.m.) Carpet Area,2 BHK2 Baths,"₹ 70 L₹ 6,306/sq.ft."
3433,2 BHK Apartment in Doddathoguru,"₹ 2,765/sq.ft.",940 sq.ft. (87 sq.m.) Carpet Area,(87 sq.m.) Carpet Area,2 BHK2 Baths,"₹ 26 L₹ 2,765/sq.ft."
3434,3 BHK Apartment in HSR Layout,"₹ 6,545/sq.ft.","1,375 sq.ft. (128 sq.m.) Carpet Area",(128 sq.m.) Carpet Area,3 BHK2 Baths,"₹ 90 L₹ 6,545/sq.ft."
3435,Residential land / Plot in Rajankunte,"₹ 3,500/sq.ft.","1,200 sq.ft. (111 sq.m.) Plot Area",(111 sq.m.) Plot Area,,"₹ 42 L₹ 3,500/sq.ft."
3436,Residential land / Plot in Hulimangala,"₹ 1,774/sq.ft.","10,143 sq.ft. (942 sq.m.) Plot Area",(942 sq.m.) Plot Area,,"₹ 1.8 Cr₹ 1,774/sq.ft."
3437,Residential land / Plot in Nelamangala,"₹ 2,083/sq.ft.","1,200 sq.ft. (111 sq.m.) Plot Area",(111 sq.m.) Plot Area,,"₹ 25 L₹ 2,083/sq.ft."
3438,2 BHK Apartment in Whitefield,"₹ 6,533/sq.ft.","1,148 sq.ft. (107 sq.m.) Super built-up Area",(107 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 75 L₹ 6,533/sq.ft."
3439,2 BHK Apartment in Electronics City Phase 1,"₹ 5,454/sq.ft.",825 sq.ft. (77 sq.m.) Carpet Area,(77 sq.m.) Carpet Area,2 BHK2 Baths,"₹ 45 L₹ 5,454/sq.ft."
3440,Residential land / Plot in Chikka Bommasandra,₹ 44/sq.ft.,"87,120 sq.ft. (8094 sq.m.) Plot Area",(8094 sq.m.) Plot Area,,₹ 38 L₹ 44/sq.ft.
3441,3 Bedroom House in Srinagar,"₹ 15,000/sq.ft.","2,300 sq.ft. (214 sq.m.) Plot Area",(214 sq.m.) Plot Area,3 BHK2 Baths,"₹ 3.45 Cr₹ 15,000/sq.ft."
3442,Residential property in Mahaganapathi Nagar,"₹ 21,111/sq.ft.",900 sq.ft. (84 sq.m.) Plot Area,(84 sq.m.) Plot Area,,"₹ 1.9 Cr₹ 21,111/sq.ft."
3443,2 BHK Apartment in Horamavu,"₹ 9,409/sq.ft.","1,169 sq.ft. (109 sq.m.) Carpet Area",(109 sq.m.) Carpet Area,2 BHK2 Baths,"₹ 1.1 Cr₹ 9,409/sq.ft."
3444,Residential land / Plot in KR Puram,₹ 37/sq.ft.,"87,120 sq.ft. (8094 sq.m.) Plot Area",(8094 sq.m.) Plot Area,,₹ 32.39 L₹ 37/sq.ft.
3445,3 BHK Apartment in Singasandra,"₹ 4,875/sq.ft.","1,600 sq.ft. (149 sq.m.) Carpet Area",(149 sq.m.) Carpet Area,3 BHK3 Baths,"₹ 78 L₹ 4,875/sq.ft."
3446,5 Bedroom House in Hosa Road,"₹ 17,578/sq.ft.","1,280 sq.ft. (119 sq.m.) Plot Area",(119 sq.m.) Plot Area,5 BHK5 Baths,"₹ 2.25 Cr₹ 17,578/sq.ft."
3447,2 BHK Independent Builder Floor in Bommasandra Industrial Area,"₹ 2,833/sq.ft.",900 sq.ft. (84 sq.m.) Carpet Area,(84 sq.m.) Carpet Area,2 BHK2 Baths,"₹ 25.5 L₹ 2,833/sq.ft."
3448,Residential land / Plot in Chamrajpet,"₹ 12,142/sq.ft.","1,400 sq.ft. (130 sq.m.) Plot Area",(130 sq.m.) Plot Area,,"₹ 1.7 Cr₹ 12,142/sq.ft."
3449,2 BHK Apartment in Electronic City,"₹ 3,152/sq.ft.",825 sq.ft. (77 sq.m.) Super built-up Area,(77 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 25 L₹ 3,152/sq.ft."
3450,3 BHK Independent Builder Floor in Bhavani Nagar,"₹ 7,317/sq.ft.","2,050 sq.ft. (190 sq.m.) Built-up Area",(190 sq.m.) Built-up Area,3 BHK3 Baths,"₹ 1.5 Cr₹ 7,317/sq.ft."
3451,1 BHK Independent Builder Floor in Srirampura,"₹ 7,727/sq.ft.","3,300 sq.ft. (307 sq.m.) Super built-up Area",(307 sq.m.) Super built-up Area,1 BHK1 Bath,"₹ 2.55 Cr₹ 7,727/sq.ft."
3452,Residential property in Indira Nagar Stage 2,"₹ 27,160/sq.ft.","1,215 sq.ft. (113 sq.m.) Plot Area",(113 sq.m.) Plot Area,,"₹ 3.3 Cr₹ 27,160/sq.ft."
3453,Residential land / Plot in Sunkadakatte,"₹ 6,500/sq.ft.","1,000 sq.ft. (93 sq.m.) Plot Area",(93 sq.m.) Plot Area,,"₹ 65 L₹ 6,500/sq.ft."
3454,4 BHK Apartment in Sarjapur Road,"₹ 12,272/sq.ft.","2,200 sq.ft. (204 sq.m.) Built-up Area",(204 sq.m.) Built-up Area,4 BHK4 Baths,"₹ 2.7 Cr₹ 12,272/sq.ft."
3455,3 BHK Apartment in Sarjapur,"₹ 5,000/sq.ft.",800 sq.ft. (74 sq.m.) Carpet Area,(74 sq.m.) Carpet Area,3 BHK3 Baths,"₹ 40 L₹ 5,000/sq.ft."
3456,Residential land / Plot in Nelamangala,"₹ 2,111/sq.ft.","1,200 sq.ft. (111 sq.m.) Plot Area",(111 sq.m.) Plot Area,,"₹ 25.33 L₹ 2,111/sq.ft."
3457,"2 BHK Apartment in Amruthahalli Main Rd, Swami Vivekananda Layout, Amrutahalli","₹ 5,794/sq.ft.","1,070 sq.ft. (99 sq.m.) Carpet Area",(99 sq.m.) Carpet Area,2 BHK2 Baths,"₹ 62 L₹ 5,794/sq.ft."
3458,3 BHK Apartment in Banashankari Stage 3,"₹ 6,797/sq.ft.","1,530 sq.ft. (142 sq.m.) Carpet Area",(142 sq.m.) Carpet Area,3 BHK3 Baths,"₹ 1.04 Cr₹ 6,797/sq.ft."
3459,1 BHK Apartment in Jalahalli East,"₹ 6,250/sq.ft.",800 sq.ft. (74 sq.m.) Built-up Area,(74 sq.m.) Built-up Area,1 BHK1 Bath,"₹ 50 L₹ 6,250/sq.ft."
3460,3 BHK Apartment in Nagondanahalli,"₹ 5,204/sq.ft.","1,537 sq.ft. (143 sq.m.) Super built-up Area",(143 sq.m.) Super built-up Area,3 BHK3 Baths,"₹ 80 L₹ 5,204/sq.ft."
3461,1 BHK Apartment in Hosa Road,"₹ 7,023/sq.ft.",598 sq.ft. (56 sq.m.) Super built-up Area,(56 sq.m.) Super built-up Area,1 BHK1 Bath,"₹ 42 L₹ 7,023/sq.ft."
3462,5 Bedroom House in Chikkabanavar,"₹ 12,916/sq.ft.","1,200 sq.ft. (111 sq.m.) Plot Area",(111 sq.m.) Plot Area,5 BHK5 Baths,"₹ 1.55 Cr₹ 12,916/sq.ft."
3463,4 Bedroom House in Kundalahalli,"₹ 19,833/sq.ft.","1,200 sq.ft. (111 sq.m.) Plot Area",(111 sq.m.) Plot Area,4 BHK3 Baths,"₹ 2.38 Cr₹ 19,833/sq.ft."
3464,Residential land / Plot in Heelalige,"₹ 3,200/sq.ft.","1,090 sq.ft. (101 sq.m.) Plot Area",(101 sq.m.) Plot Area,,"₹ 34.88 L₹ 3,200/sq.ft."
3465,1 BHK Apartment in 3rd Block Hrbr Layout,"₹ 7,142/sq.ft.",700 sq.ft. (65 sq.m.) Super built-up Area,(65 sq.m.) Super built-up Area,1 BHK1 Bath,"₹ 50 L₹ 7,142/sq.ft."
3466,"4 BHK Apartment in Ashwini layout, Ejipura","₹ 8,333/sq.ft.","1,500 sq.ft. (139 sq.m.) Carpet Area",(139 sq.m.) Carpet Area,4 BHK4 Baths,"₹ 1.25 Cr₹ 8,333/sq.ft."
3467,8 BHK Independent Builder Floor in Sadara Mangala Industrial Area,"₹ 8,484/sq.ft.","1,650 sq.ft. (153 sq.m.) Built-up Area",(153 sq.m.) Built-up Area,8 BHK8 Baths,"₹ 1.4 Cr₹ 8,484/sq.ft."
3468,1 BHK Apartment in Balagere,"₹ 8,859/sq.ft.",745 sq.ft. (69 sq.m.) Super built-up Area,(69 sq.m.) Super built-up Area,1 BHK1 Bath,"₹ 66 L₹ 8,859/sq.ft."
3469,3 BHK Apartment in kavalbyrasandra R.T.Nagar post,"₹ 6,666/sq.ft.","1,350 sq.ft. (125 sq.m.) Carpet Area",(125 sq.m.) Carpet Area,3 BHK3 Baths,"₹ 90 L₹ 6,666/sq.ft."
3470,3 Bedroom House in KR Puram,"₹ 16,666/sq.ft.","1,200 sq.ft. (111 sq.m.) Plot Area",(111 sq.m.) Plot Area,3 BHK3 Baths,"₹ 2 Cr₹ 16,666/sq.ft."
3471,2 BHK Apartment in Malleshwaram,"₹ 8,859/sq.ft.",982 sq.ft. (91 sq.m.) Super built-up Area,(91 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 87 L₹ 8,859/sq.ft."
3472,Residential land / Plot in Electronic City,"₹ 2,200/sq.ft.","1,200 sq.ft. (111 sq.m.) Plot Area",(111 sq.m.) Plot Area,,"₹ 26.4 L₹ 2,200/sq.ft."
3473,Residential land / Plot in Electronic City,"₹ 2,200/sq.ft.","1,200 sq.ft. (111 sq.m.) Plot Area",(111 sq.m.) Plot Area,,"₹ 26.4 L₹ 2,200/sq.ft."
3474,3 BHK Apartment in Thanisandra,"₹ 5,347/sq.ft.","1,440 sq.ft. (134 sq.m.) Carpet Area",(134 sq.m.) Carpet Area,3 BHK3 Baths,"₹ 77 L₹ 5,347/sq.ft."
3475,4 Bedroom House in Shreyas Colony,"₹ 14,444/sq.ft.","2,250 sq.ft. (209 sq.m.) Plot Area",(209 sq.m.) Plot Area,4 BHK4 Baths,"₹ 3.25 Cr₹ 14,444/sq.ft."
3476,2 BHK Apartment in Murugeshpalaya,"₹ 7,500/sq.ft.",800 sq.ft. (74 sq.m.) Carpet Area,(74 sq.m.) Carpet Area,2 BHK2 Baths,"₹ 60 L₹ 7,500/sq.ft."
3477,5 Bedroom House in Bannerghatta Road,"₹ 15,416/sq.ft.","1,200 sq.ft. (111 sq.m.) Plot Area",(111 sq.m.) Plot Area,5 BHK5 Baths,"₹ 1.85 Cr₹ 15,416/sq.ft."
3478,3 BHK Apartment in Devasthanagalu,"₹ 5,476/sq.ft.","1,625 sq.ft. (151 sq.m.) Super built-up Area",(151 sq.m.) Super built-up Area,3 BHK2 Baths,"₹ 89 L₹ 5,476/sq.ft."
3479,3 BHK Apartment in Amblipura,"₹ 10,451/sq.ft.","1,770 sq.ft. (164 sq.m.) Super built-up Area",(164 sq.m.) Super built-up Area,3 BHK3 Baths,"₹ 1.85 Cr₹ 10,451/sq.ft."
3480,9 Bedroom House in Sunkadakatte,"₹ 4,000/sq.ft.","3,000 sq.ft. (279 sq.m.) Plot Area",(279 sq.m.) Plot Area,9 BHK9 Baths,"₹ 1.2 Cr₹ 4,000/sq.ft."
3481,Residential land / Plot in Boyalahalli,"₹ 3,750/sq.ft.","1,200 sq.ft. (111 sq.m.) Plot Area",(111 sq.m.) Plot Area,,"₹ 45 L₹ 3,750/sq.ft."
3482,2 BHK Apartment in Roopena Agrahara,"₹ 5,500/sq.ft.","1,000 sq.ft. (93 sq.m.) Super built-up Area",(93 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 55 L₹ 5,500/sq.ft."
3483,Residential land / Plot in Kaggalipura,"₹ 3,800/sq.ft.","1,883 sq.ft. (175 sq.m.) Plot Area",(175 sq.m.) Plot Area,,"₹ 71.55 L₹ 3,800/sq.ft."
3484,Residential land / Plot in ambedkar institute of technology. kengunte circle,"₹ 12,500/sq.ft.",600 sq.ft. (56 sq.m.) Plot Area,(56 sq.m.) Plot Area,,"₹ 75 L₹ 12,500/sq.ft."
3485,3 BHK Apartment in Jakkur,"₹ 13,513/sq.ft.","1,850 sq.ft. (172 sq.m.) Super built-up Area",(172 sq.m.) Super built-up Area,3 BHK3 Baths,"₹ 2.5 Cr₹ 13,513/sq.ft."
3486,Residential land / Plot in Chikka Tirupathi,₹ 1/sq.ft.,"1,742,400 sq.ft. (161874 sq.m.) Plot Area",(161874 sq.m.) Plot Area,,₹ 22 L₹ 1/sq.ft.
3487,2 BHK Apartment in Carmelaram,"₹ 7,410/sq.ft.","1,147 sq.ft. (107 sq.m.) Super built-up Area",(107 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 85 L₹ 7,410/sq.ft."
3488,Residential land / Plot in Huttanahalli,"₹ 3,200/sq.ft.","1,500 sq.ft. (139 sq.m.) Plot Area",(139 sq.m.) Plot Area,,"₹ 48 L₹ 3,200/sq.ft."
3489,3 Bedroom House in Hosakerehalli,"₹ 18,333/sq.ft.",600 sq.ft. (56 sq.m.) Plot Area,(56 sq.m.) Plot Area,3 BHK3 Baths,"₹ 1.1 Cr₹ 18,333/sq.ft."
3490,2 BHK Apartment in Bagalur,"₹ 9,811/sq.ft.",530 sq.ft. (49 sq.m.) Carpet Area,(49 sq.m.) Carpet Area,2 BHK2 Baths,"₹ 52 L₹ 9,811/sq.ft."
3491,2 BHK Apartment in Tumkur Road,"₹ 10,963/sq.ft.",992 sq.ft. (92 sq.m.) Super built-up Area,(92 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 78 L₹ 10,963/sq.ft."
3492,2 BHK Apartment in Tejaswini Nagar,"₹ 5,833/sq.ft.","1,200 sq.ft. (111 sq.m.) Super built-up Area",(111 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 70 L₹ 5,833/sq.ft."
3493,2 BHK Apartment in Sahakara Nagar,"₹ 5,555/sq.ft.","1,260 sq.ft. (117 sq.m.) Built-up Area",(117 sq.m.) Built-up Area,2 BHK2 Baths,"₹ 70 L₹ 5,555/sq.ft."
3494,3 BHK Apartment in Bellandur,"₹ 8,333/sq.ft.","1,980 sq.ft. (184 sq.m.) Built-up Area",(184 sq.m.) Built-up Area,3 BHK4 Baths,"₹ 1.65 Cr₹ 8,333/sq.ft."
3495,Residential land / Plot in Anjanapura Block 8,"₹ 5,833/sq.ft.","1,200 sq.ft. (111 sq.m.) Plot Area",(111 sq.m.) Plot Area,,"₹ 70 L₹ 5,833/sq.ft."
3496,4 Bedroom House in 9th Phase JP Nagar,"₹ 5,000/sq.ft.","2,200 sq.ft. (204 sq.m.) Built-up Area",(204 sq.m.) Built-up Area,4 BHK4 Baths,"₹ 1.1 Cr₹ 5,000/sq.ft."
3497,Residential land / Plot in Pillagana Halli,"₹ 3,333/sq.ft.","1,500 sq.ft. (139 sq.m.) Plot Area",(139 sq.m.) Plot Area,,"₹ 50 L₹ 3,333/sq.ft."
3498,2 BHK Apartment in Hosur Road,"₹ 3,043/sq.ft.","1,150 sq.ft. (107 sq.m.) Built-up Area",(107 sq.m.) Built-up Area,2 BHK2 Baths,"₹ 35 L₹ 3,043/sq.ft."
3499,Residential land / Plot in Haragadde,"₹ 2,667/sq.ft.","2,400 sq.ft. (223 sq.m.) Plot Area",(223 sq.m.) Plot Area,,"₹ 64 L₹ 2,667/sq.ft."
3500,3 BHK Apartment in Ananth Nagar,"₹ 4,074/sq.ft.","1,350 sq.ft. (125 sq.m.) Built-up Area",(125 sq.m.) Built-up Area,3 BHK2 Baths,"₹ 55 L₹ 4,074/sq.ft."
3501,1 Bedroom House in Kengeri Satellite Town,"₹ 5,254/sq.ft.","2,550 sq.ft. (237 sq.m.) Built-up Area",(237 sq.m.) Built-up Area,1 BHK1 Bath,"₹ 1.34 Cr₹ 5,254/sq.ft."
3502,1 Bedroom House in Soppahalli,"₹ 4,341/sq.ft.",850 sq.ft. (79 sq.m.) Built-up Area,(79 sq.m.) Built-up Area,1 BHK1 Bath,"₹ 36.9 L₹ 4,341/sq.ft."
3503,3 BHK Apartment in Electronic City,"₹ 6,810/sq.ft.","1,395 sq.ft. (130 sq.m.) Built-up Area",(130 sq.m.) Built-up Area,3 BHK3 Baths,"₹ 95 L₹ 6,810/sq.ft."
3504,2 BHK Apartment in Mysore Road,"₹ 4,989/sq.ft.",882 sq.ft. (82 sq.m.) Built-up Area,(82 sq.m.) Built-up Area,2 BHK2 Baths,"₹ 44 L₹ 4,989/sq.ft."
3505,1 Bedroom House in Soppahalli,"₹ 4,612/sq.ft.",800 sq.ft. (74 sq.m.) Built-up Area,(74 sq.m.) Built-up Area,1 BHK1 Bath,"₹ 36.9 L₹ 4,612/sq.ft."
