title,location,bhk,bath,total_sqft,price_per_sqft,price,area_type
3 BHK Apartment , Sahakara Nagar,3,2,1399,6075,85,Built-upArea
2 BHK Apartment , Doddathoguru,2,2,953,5246,58.5,Superbuilt-up
2 BHK Apartment , Dollars Colony,2,2,1080,8333,90,Built-upArea
3 BHK Apartment , Garebhavipalya,3,2,1510,10596,160,Superbuilt-up
2 BHK Apartment , Whitefield,2,2,1272,5738,73,Superbuilt-up
2 BHK Apartment , Yelahanka,2,2,1445,6228,90,Built-upArea
4 Bedroom House , 4th Block Koramangala,4,3,1419,25722,365,PlotArea
3 BHK Apartment , V,3,2,1558,6740,105,Superbuilt-up
3 Bedroom House , Sabari Nagar,3,3,2400,9166,220,PlotArea
4 Bedroom House , Yelahanka,4,5,3000,14000,420,PlotArea
2 BHK Apartment , Yelahanka,2,2,1270,5906,75,Superbuilt-up
2 BHK Apartment , Kanakapura Road,2,3,2080,7932,165,Superbuilt-up
3 Bedroom House , Hessarghatta,3,4,1500,4166,125,PlotArea
2 BHK Apartment , Anekal,2,2,900,4333,39,CarpetArea
3 BHK Apartment , 2nd cross Promenade Road,3,3,2000,11750,235,Built-upArea
2 BHK Apartment , Tumkur Road,2,2,1297,8018,104,Superbuilt-up
4 Bedroom House , 1st Block Koramangala,4,2,2700,32000,864,PlotArea
10 BHK Independent Builder Floor , Sector 7 HSR Layout,10,10,6500,4538,295,CarpetArea
2 BHK Apartment , Sector 7 HSR Layout,2,2,1265,6245,79,Superbuilt-up
2 BHK Apartment , Yelahanka New Town,2,2,1248,5500,68.64,Superbuilt-up
2 BHK Apartment , Thanisandra,2,2,1241,6688,83,Superbuilt-up
5 Bedroom House , CV Raman Nagar,5,6,2800,15555,700,PlotArea
2 BHK Apartment , Kanakapura Road,2,2,1067,4967,53,CarpetArea
2 BHK Apartment , Billekahalli,2,2,1405,4412,62,Built-upArea
2 BHK Apartment , 7th Phase JP Nagar,2,2,1160,5172,60,Superbuilt-up
2 BHK Apartment , Chikkalasandra,2,2,1000,6500,65,Superbuilt-up
7 Bedroom House , Magadi Road,7,8,2200,19545,430,PlotArea
2 BHK Apartment , Thanisandra,2,2,1098,7741,85,Superbuilt-up
3 BHK Apartment , Yelahanka,3,2,1065,7042,75,Built-upArea
3 BHK Apartment , BSF STS MAIN ROAD,3,2,1250,4000,50,CarpetArea
3 BHK Apartment , Banashankari,3,3,2522,9714,245,Superbuilt-up
2 BHK Apartment , Sahakara Nagar,2,2,1170,8119,95,Superbuilt-up
3 BHK Apartment , Jakkur,3,3,1773,8888,120,Superbuilt-up
2 BHK Apartment , Arekere,2,2,1324,6948,92,CarpetArea
2 BHK Apartment , Tumkur Road,2,2,1073,7362,79,Superbuilt-up
3 BHK Apartment , Peenya,3,2,1600,5625,90,Superbuilt-up
3 BHK Apartment , Indira Nagar,3,2,1275,9411,120,Built-upArea
2 BHK Apartment , 9th Phase JP Nagar,2,2,800,4375,35,Superbuilt-up
3 BHK Apartment , Annasandrapalya Extension,3,2,1295,6177,80,Built-upArea
3 BHK Apartment , Devarabisanahalli,3,3,1808,10785,195,CarpetArea
6 Bedroom House , Kumaraswamy Layout,6,6,1603,22457,335,PlotArea
5 Bedroom House , Jakkur,5,5,600,21666,130,PlotArea
2 BHK Apartment , Basavangudi,2,2,1282,8970,115,CarpetArea
2 BHK Independent Builder Floor , Whitefield,2,2,1325,4600,60.95,Superbuilt-up
4 Bedroom House , Ullal Road,4,4,600,21666,130,PlotArea
2 BHK Apartment , Whitefield,2,2,1140,5964,68,CarpetArea
3 BHK Apartment , BTM Layout,3,2,1500,6600,99,CarpetArea
3 BHK Independent Builder Floor , Banashankari Stage 2,3,3,1800,10277,185,Superbuilt-up
2 BHK Apartment , Kodigehalli,2,2,1170,5769,66,Superbuilt-up
5 Bedroom House , Jakkur,5,5,1200,13750,165,PlotArea
3 BHK Apartment , Doddathoguru,3,3,1695,3952,67,Superbuilt-up
3 BHK Apartment , Vidyaranyapura,3,3,1980,5858,116,Superbuilt-up
3 Bedroom House , Kadabagere,3,4,6800,4500,375,PlotArea
3 Bedroom House , Cooke Town,3,2,2400,8333,200,Built-upArea
12 Bedroom House , Vidyaranyapura,12,12,2400,14375,315,PlotArea
3 BHK Apartment , Indira Nagar,3,3,1530,13071,200,Superbuilt-up
3 BHK Apartment , Seegehalli,3,3,1227,4277,52.49,CarpetArea
4 BHK Apartment , 4th Phase JP Nagar,4,5,4332,11842,513,Superbuilt-up
2 BHK Apartment , Kasavanhalli,2,2,1255,7968,100,Superbuilt-up
3 BHK Apartment , Hegde Nagar,3,3,1569,7648,120,Superbuilt-up
3 BHK Apartment , Byrasandra,3,3,2000,4250,85,CarpetArea
5 Bedroom House , Ashraya Layout,5,5,1200,11666,140,PlotArea
3 BHK Independent Builder Floor , Bommanahalli,3,3,1900,4736,90,CarpetArea
3 BHK Apartment , 5th Phase JP Nagar,3,2,1420,5422,77,Superbuilt-up
3 BHK Apartment , Yelahanka,3,2,1448,6215,90,Superbuilt-up
2 Bedroom House , Padmanabhanagar,2,1,1200,20833,250,PlotArea
4 Bedroom House , BCC Layout,4,3,1200,22916,250,PlotArea
3 Bedroom House , Dodda Hagade,3,3,1555,3857,59.99,PlotArea
2 BHK Apartment , Sarvabhouma Nagar,2,2,1010,5148,52,CarpetArea
2 BHK Apartment , Vidyaranyapura,2,2,1120,5178,55,Built-upArea
3 BHK Apartment , Medahalli,3,2,1400,4642,65,Built-upArea
2 BHK Apartment , Anekal,2,2,850,6470,55,CarpetArea
1 BHK Apartment , Yelahanka,1,1,595,9243,55,Superbuilt-up
2 BHK Apartment , Kurudusonnenahalli,2,2,1035,4251,44,Superbuilt-up
1 Bedroom House , Jakkur,1,1,960,17187,165,CarpetArea
3 BHK Apartment , Marathahalli,3,3,1460,6849,100,CarpetArea
3 BHK Apartment , Dasarahalli,3,3,2137,6738,144,Built-upArea
2 BHK Apartment , Chelekare,2,2,1090,5963,65,CarpetArea
2 BHK Apartment , Anekal,2,2,901,4328,39,CarpetArea
